Date,Text,Link(s),Media URL(s)
2026-09-28 16:30,"إنكورج - برونزي ✨

أكملي إطلالتك مع شنطة إنكورِج من مجموعة ديليبريت الفاخرة. تتميز بنقشة الحياكة المميزة، وتتحول بسهولة من كلاتش يدوي أنيق إلى كروس بودي عصري بفضل الحزام القابل للتعديل والإزالة. مصنوعة من خامات فاخرة، بتصميم مرن وأنيق يجعلها مثالية للتألق من النهار حتى المساء.

▫️ السعر: 300 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-encourage-0009511200008407_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-encourage-0009511200008407_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-encourage-0009511200008407_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-encourage-0009511200008407_top.jpg"
2026-09-28 20:00,"ديبند – تان ✨

تقدم حقيبة ديبند مجموعة من الاقسام المصممة بذكاء لتواكب وتيرة يومك طوال الاسبوع. يتم تصنيعها باحتراف من جلد فاخر مع لوحات متباينة الملمس، وتكتمل بلمسات علامة ديون لندن التي تضيف مظهرا راقيا. يوفر الداخل اقساما متوازنة تتسع للجهاز اللوحي والاوراق والاحتياجات اليومية، بينما يمكن تثبيت المقابض العلوية بخفاء من خلال زر صغير. تعتبر ديبند خيارا مثاليا لمن يبحث عن اناقة عملية وسهلة في ايام العمل.

▫️ السعر: 350 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-depend-0020500110028351_front_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-depend-0020500110028351_back_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-depend-0020500110028351_detail_1.jpg"
2026-09-29 16:30,"كلوب – بيج ✨

محفظة أنيقة بحجم صغير ولمسة لافتة، صُممت لتناسب الأناقة لكل يوم. مصنوعة من جلد بنقشة جلد التمساح، مع تصميم انسيابي أنيق، وتفاصيل سحاب ذهبي وشعار الماركة في الواجهة. تكتمل بتعليقة ذهبية مزدوجة تضيف لمسة فاخرة ناعمة. الخيار المثالي لوضعها داخل حقيبتك المفضلة.

▫️ السعر: 100 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-klub-0028500110022149_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-klub-0028500110022149_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-klub-0028500110022149_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-klub-0028500110022149_side.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-klub-0028500110022149_top.jpg"
2026-09-29 19:15,"سيليكشن - مرجاني ✨

تم تصميم هذه الحقيبة الميني ذات الشكل الزاوي المنحوت لتحمل بسهولة تحت الذراع عند ارتدائها على الكتف. تجمع بين الراحة والأناقة مع مقبض سلسلة جزئي مصنوع من حلقات ذهبية فاخرة مثبتة بحلقات جانبية. وتتميز بشعار العلامة في الأمام مع حزام كتف قابل للفصل لتحويلها إلى حقيبة كروس بادي متعددة الاستخدامات.

▫️ السعر: 170 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-selection-1064509700005219_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-selection-1064509700005219_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-selection-1064509700005219_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-selection-1064509700005219_side.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//w/e/web_-_banner_600_750_px_-_2.jpg"
2026-09-29 21:45,"دينكي ديليبيرت أسود ✨

هذا الإصدار الأصغر من حقيبة ""ديليبريت"" المنسوجة الأيقونية يتميز بقفل مغناطيسي يحمل شعار العلامة، بالإضافة إلى محفظة بسحاب تحمل الشعار أيضاً لتخزين منظم. الحزام القابل للفصل والقدرة على تحويلها من حقيبة يد إلى حقيبة كروس يضيفان لمسة عملية على هذا التصميم الأنيق.

▫️ السعر: 300 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dinkydeliberate-0024511200006028_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006028_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006028_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006028_top.jpg"
