Date,Text,Link(s),Media URL(s)
2026-10-02 16:30,"كيلسي - أسود ✨

تجمع محفظة كيلسي بين تصميم الموسم والتفاصيل الراقية الأنيقة. تأتي من الداخل مع تقسيمات عملية تحافظ على تنظيم أغراضك، مع فتحات مخصصة للبطاقات، وجيب للنقود، وجيب بسحاب لحفظ العملات المعدنية. وتكتمل بشعار ذهبي بارز مع قفل مغناطيسي أنيق، مما يجعلها الإكسسوار المثالي للاستخدام اليومي ولمظهر عملي فاخر.

▫️ السعر: 170 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-kelsey-0028500110019038_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kelsey-0028500110019038_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kelsey-0028500110019038_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kelsey-0028500110019038_side.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//k/e/kelsey-0028500110019459_model.jpg"
2026-10-02 20:00,"دينيدليبرات - بيوتر ✨

اكتشفي شنطة دينيدليبرات الصغيرة، الإضافة الأحدث لعائلة ديليبرات الأيقونية. تصميم مدمج يعكس شخصية الموديلات الأكبر بحجم مثالي. صنعت بنسيج مميز مع مقبض دائري ملفت، وتأتي مع محفظة صغيرة بسحاب قابلة للفصل لحفظ الأساسيات بأناقة. خيار عملي وأنيق يناسب النهار والمساء، بلمسة جريئة مع جهد أقل.

▫️ السعر: 300 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dinideliberate-0024511200008310_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinideliberate-0024511200008310_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinideliberate-0024511200008310_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinideliberate-0024511200008310_side.jpg"
2026-10-03 16:30,"كيمبل – بيج ✨

محفظة كوتس من القطع الأساسية لكل يوم، تتميز بتصميم أنيق مع فتحات متعددة للنقود والبطاقات، وجيب مخصص للعملات بسحاب. تكتمل بتفاصيل معدنية وزخارف مسامير تضيف لمسة عصرية جذابة.

▫️ السعر: 100 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-kimble-0028500110028843_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kimble-0028500110028843_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kimble-0028500110028843_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kimble-0028500110028843_side.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kimble-0028500110028843_top.jpg"
2026-10-03 19:15,"دينكي ديليبيريت – بني ✨

نسخة أصغر من حقيبة ديليبريت المنسوجة الأيقونية، تتميز بقفل مغناطيسي يحمل شعار الماركة، مع حقيبة داخلية إضافية بسحاب لتنظيم الأغراض. يتيح الحزام القابل للإزالة تحويلها من حقيبة يد إلى حقيبة بحمالة طويلة ، لتجمع بين الأناقة والعملية في تصميم واحد أنيق.

▫️ السعر: 270 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dinkydeliberate-0024511200006351_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006351_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006351_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006351_side.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006351_top.jpg"
2026-10-03 21:45,"دينيديلبرت – أسود ✨

تقدم حقيبة دينيديليبريت الجديدة إضافةً صغيرةً ولكن ذات حضور أكبر ضمن عائلة ديليبريت. يعكس هذا التصميم الصغير كل ملامح الاصدارات الأكبر لكن في هيكل مصقول يمنح إطلالةً أنيقةً. تم تصنيعها من النسيج المميز للعلامة بلون خمري، وتأتي مع مقبض دائري لافت ومحفظة صغيرة قابلة للفصل كتفصيل عملي مُحكم. وتعد هذه الحقيبة الانيقة رفيقاً مثالياً للاستخدام النهاري والليلي، اذ تمنح تأثيراً واضحاً دون أي جهد.

▫️ السعر: 300 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dinideliberate-0024511200008028_front_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinideliberate-0024511200008028_back_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinideliberate-0024511200008028_detail_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinideliberate-0024511200008028_model_1.jpg"
