Date,Text,Link(s),Media URL(s)
2026-09-22 16:30,"شو مانس - أسود ✨

صُنعت حقيبة شو مانس من الشمواه الفاخر لتجسد مثالاً للأناقة الهادئة والبساطة الراقية. تم تصميمها لتنتقل بسلاسة من إطلالات النهار إلى المساء، حيث تتميز بقفل دوار ذهبي لامع مع إكسسوارات معدنية متناسقة وتفاصيل شعار ذهبي ناعم في الأمام. ويمنحك مقبض السلسلة الفاخر إمكانية تنسيقها كحقيبة كتف أنيقة أو حملها كحقيبة كلتش راقية للمناسبات والسهرات.

▫️ السعر: 300 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-showmance-1064500110024802_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-showmance-1064500110024802_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-showmance-1064500110024802_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-showmance-1064500110024802_side.jpg"
2026-09-22 20:00,"ديركشن - أسود ✨

تميّزي مع شنطة كتف مصممة بزوايا منحوتة لتستقر بأناقة أسفل الذراع عند ارتدائها على الكتف. تجمع بين الراحة والأناقة مع مقبض معدني جزئي مصنوع من سلاسل ذهبية مثبتة بحلقات جانبية. يزينها شعار العلامة في الأمام، بينما يتيح الحزام القابل للفصل ارتداؤها كشنطة كروس بادي لتمنحك إطلالة متعددة الاستخدامات.

▫️ السعر: 250 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-direction-0022509700036484_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036484_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036484_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036484_model.jpg"
2026-09-23 16:30,"كيمبل - خمري ✨

تُعد محفظة كوتس من ديون لندن قطعة أساسية أنيقة للاستخدام اليومي. تأتي مزودة بعدة فتحات مخصصة للنقود والبطاقات، مع جيب بسحاب لحفظ العملات المعدنية بشكل آمن ومنظم. وتكتمل بتفاصيل معدنية راقية ولمسات مسامير أنيقة تضيف مظهرًا عصريًا وفخمًا، مما يجعلها محفظة مثالية تجمع بين العملية والأناقة في كل يوم.

▫️ السعر: 120 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-kimble-0028500110028922_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kimble-0028500110028922_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kimble-0028500110028922_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-kimble-0028500110028922_side.jpg"
2026-09-23 19:15,"دايريكشن – أبيض ✨

يجمع هذا التصميم الهندسي بين الراحة والاناقة، حيث تم تطويره ليبقى تحت الذراع عند ارتدائه على الكتف. تاتي الحمالة جزئيا بسلسلة تجمع بين خامات متناسقة ومثبتة بحلقات جانبية، مما يحقق توازنا بين الاسلوب العصري والعملية. يبرز شعار العلامة في الامام، بينما توفر الحمالة القابلة للفصل خيار حمل كروس يضيف مرونة اكبر لاستخدام الحقيبة.

▫️ السعر: 220 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-direction-0022509700036860_front_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036860_back_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036860_detail_1.jpg"
2026-09-23 21:45,"ديليبيريت – ميتاليك ✨

تتميز هذه الحقيبة بتصميم منسوج يدوي يعكس الحرفية المميزة للعلامة، مع شكل عصري وكلاسيكي في الوقت نفسه. متوفرة بلون أسود لامع وبني غني، ويمنحها الملمس الفاخر حركة وأناقة في المظهر. تكتمل بقفل مغناطيسي يحمل شعار الماركة، مع حزام طويل قابل للتعديل لأسلوب عملي يتيح لك حرية الحركة.

▫️ السعر: 320 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-deliberate-0019511200004310_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-deliberate-0019511200004310_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-deliberate-0019511200004310_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-deliberate-0019511200004310_model.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-deliberate-0019511200004310_top.jpg"
