Date,Text,Link(s),Media URL(s)
2026-09-24 16:30,"إمبيلشد - ذهبي ✨

تميّزي مع كلاتش أنيق بتصميم صدفة، مرصع بالكامل بكريستالات لامعة تضفي لمسة من البريق على إطلالاتك المسائية. صُمم ليُحمل باليد ليضيف لمسة جاذبية فاخرة تناسب حفلات الزفاف والمناسبات أو أي سهرة ترغبين فيها بالتألق.

▫️ السعر: 400 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-embellished-0009506660011567_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-embellished-0009506660011567_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-embellished-0009506660011567_detail.jpg"
2026-09-24 20:00,"دوري برغندي ✨

تتميز حقيبة ""دوري"" بتصميمها المربّع وخامتها المزخرفة مع قماش متباين يضفي لمسة أنيقة. تأتي مع حزام كروس قابل للفصل لخيارات حمل متعددة، ومقابض مزدوجة ولمسات معدنية ذهبية تعزز من أناقتها. وتكتمل بتفاصيل داخلية متعددة وشعار ديون لندن المميز، مما يجعلها مثالية لأيام العمل والمناسبات اليومية.

▫️ السعر: 320 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dorry-0019500110006271_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/o/dorry-0019500110006271_model.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dorry-0019500110006271_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dorry-0019500110006271_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dorry-0019500110006271_top.jpg"
2026-09-25 16:30,"كلوب – أسود ✨

محفظة أنيقة بحجم صغير ولمسة لافتة، صُممت لتناسب الأناقة لكل يوم. مصنوعة من جلد بنقشة جلد التمساح، مع تصميم انسيابي أنيق، وتفاصيل سحاب ذهبي وشعار الماركة في الواجهة. تكتمل بتعليقة ذهبية مزدوجة تضيف لمسة فاخرة ناعمة. الخيار المثالي لوضعها داخل حقيبتك المفضلة.

▫️ السعر: 120 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-klub-0028500110022484_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-klub-0028500110022484_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-klub-0028500110022484_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-klub-0028500110022484_side.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-klub-0028500110022484_top.jpg"
2026-09-25 19:15,"دينكيديفاين - تان ✨

جددي مجموعة الإكسسوارات الخاصة بك مع شنطة داثرين المصنوعة من القش الطبيعي. تتميز بتصميم فريد مع غطاء علوي قابل للطي بلون متباين ومقبض يدوي أنيق. تكتمل الشنطة بتفاصيل معدنية ذهبية ولمسات شعارية تضيف لمسة فاخرة. مثالية لإطلالات النهار الصيفية الراقية.

▫️ السعر: 270 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dinkydefine-0024500110054350_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydefine-0024500110054350_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydefine-0024500110054350_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydefine-0024500110054350_side.jpg"
2026-09-25 21:45,"دايركشن – ذهبي ✨

حقيبة بتصميم منحوت وزوايا أنيقة، صُممت لتناسب الحمل تحت الذراع عند ارتدائها على الكتف. يأتي مقبض السلسلة الجزئي بتصميم ذهبي أنيق مثبت بحلقات جانبية، مع شعار الماركة في الواجهة. يتيح الحزام القابل للإزالة ارتداء الحقيبة كحقيبة كتف أو بحزام طويل بأسلوب عملي.

▫️ السعر: 270 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-direction-0022509700036516_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036516_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036516_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036516_side.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036516_top.jpg"
